Model (Parameters),z and alpha,"Data (len:900, TCP:500)",ARL0,ARL1,seed,Gap Size,Data Var
"WM (z:1.6449,a:1,(0.2, 10))",z:1.6449 alpha:1,MG:0 Var:1,55.1875,,111,0,1
"CTM (z:1.6449,a:1,(0.2, 10))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1,(0.2, 15))",z:1.6449 alpha:1,MG:0 Var:1,753.0,,111,0,1
"CTM (z:1.6449,a:1,(0.2, 15))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1,(0.2, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1,(0.2, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,10)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.1, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.1, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.1, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,15)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.1, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.1, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.1, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,20)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.1, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.1, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.1, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,25)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.15, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.15, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.15, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,30)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.15, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.15, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.2, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.2, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.2, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.2, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.2, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.2, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,10)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,15)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,20)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,25)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,30)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.15, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.15, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.2, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
